iterations;buffer size;without trace;with trace;overhead ratio;trace time;decode time
1000;2;1.5;6.02731;301.82%;2.30077;5.75495
2000;4;2.82;11.6637;313.61%;3.312373;11.3004
3000;8;4.19;17.1476;309.25%;4.444188;16.8553
4000;8;5.81;23.318;301.34%;5.704065;23.048
5000;8;7.09;28.1702;297.32%;7.121693;27.8433
6000;16;8.51;35.222;313.89%;9.14888;34.4854
7000;16;10.32;40.4296;291.76%;10.610671;40.1369
8000;16;10.76;43.7816;306.89%;11.876925;43.4802
9000;16;12.3;48.4682;294.05%;12.583499;48.1103
10000;16;13.7;53.8202;292.85%;13.460964;53.5534
11000;16;15.1;58.7303;288.94%;15.210064;58.4689
12000;32;16.27;65.3137;301.44%;16.55363;64.9946
13000;32;17.75;71.2908;301.64%;18.758227;70.9136
14000;32;19.01;76.0603;300.11%;19.347394;75.7739
15000;32;21.33;81.7476;283.25%;20.673615;81.3761
16000;32;21.56;85.8942;298.40%;21.971387;85.5782
17000;32;23.29;93.5958;301.87%;24.037385;93.2632
18000;32;24.31;96.3589;296.38%;24.844239;96.0097
19000;32;26.02;103.04;296.00%;26.592849;102.722
20000;32;27.19;106.802;292.80%;27.637519;106.488
21000;32;28.45;110.837;289.59%;28.427862;110.52
22000;32;29.8;117.196;293.28%;30.208925;116.773
23000;32;30.5;122.004;300.01%;30.820964;121.638
24000;64;32.11;131.614;309.88%;32.605523;131.263
25000;64;33.42;135.102;304.25%;34.039045;134.732
26000;64;34.92;140.208;301.51%;35.427903;139.836
27000;64;36.35;147.324;305.29%;36.996893;147.035
28000;64;38.11;148.759;290.34%;37.720506;148.466
29000;64;38.96;155.698;299.64%;39.27149;155.419
30000;64;40.29;160.992;299.58%;41.12444;160.657
31000;64;41.45;167.627;304.41%;41.876352;167.218
32000;64;42.54;170.287;300.30%;42.803081;169.929
33000;64;44.46;177.172;298.50%;45.19791;176.85
34000;64;45.23;179.746;297.40%;45.633286;179.423
35000;64;46.53;187.318;302.57%;47.228438;186.999
36000;64;48.18;193.394;301.40%;48.932367;193.111
37000;64;49.37;197.634;300.31%;50.210122;197.342
38000;64;51.56;204.298;296.23%;51.196954;203.922
