iterations;buffer size;without trace;with trace;overhead ratio;trace time;decode time
870000;2048;123.29;1545.17;1153.28%;123.366103;1544.49
871000;2048;122.46;1526.52;1146.55%;122.757609;1525.81
872000;2048;123.03;1574.17;1179.50%;125.655407;1573.47
873000;2048;126.46;1520.95;1102.71%;122.844421;1520.26
874000;2048;123.53;1535.42;1142.95%;123.135713;1534.73
875000;2048;124.22;1527.61;1129.76%;124.962321;1526.84
876000;2048;123.67;1528.41;1135.88%;123.987279;1527.74
877000;2048;124.49;1534.58;1132.69%;124.949751;1533.87
878000;2048;124.97;1561.05;1149.14%;126.531192;1560.33
879000;2048;124.92;1529.16;1124.11%;124.440513;1528.48
880000;2048;123.94;1531.82;1135.94%;123.946013;1531.13
881000;2048;125.67;1548.18;1131.94%;125.444895;1547.5
882000;2048;127.15;1555.49;1123.35%;124.193819;1554.85
883000;2048;125.89;1543.34;1125.94%;124.567248;1542.65
884000;2048;124.35;1552.56;1148.54%;125.96242;1551.42
885000;2048;125.51;1558.1;1141.42%;125.021443;1557.38
886000;2048;125.6;1559.45;1141.60%;125.849712;1558.76
887000;2048;124.63;1548.79;1142.71%;124.623049;1548.05
888000;2048;126.68;1559.46;1131.02%;126.195216;1558.82
889000;2048;127.34;1561.94;1126.59%;126.70722;1561.25
890000;2048;126.28;1573.93;1146.38%;125.61703;1573.2
891000;2048;125.53;1549.2;1134.13%;126.368869;1548.51
892000;2048;126.51;1557.23;1130.91%;126.99583;1556.12
893000;2048;126.46;1569.06;1140.76%;127.873662;1568.21
894000;2048;127.77;1557.76;1119.19%;127.739004;1557.08
895000;2048;126.64;1578.69;1146.60%;125.922673;1578.05
896000;2048;125.45;1565.42;1147.84%;127.818589;1564.71
897000;2048;129.49;1574.57;1115.98%;128.271427;1573.94
898000;2048;127.77;1570.85;1129.44%;127.541821;1570.22
899000;2048;128.62;1572.87;1122.88%;126.547331;1572.23
900000;2048;127.22;1576.64;1139.30%;127.362262;1575.96
901000;2048;127.12;1568.54;1133.90%;127.924969;1567.88
902000;2048;127.07;1578.27;1142.05%;127.124115;1577.62
903000;2048;128.59;1575.2;1124.98%;128.388664;1574.46
904000;2048;129.41;1592.08;1130.26%;130.620253;1591.31
905000;2048;129.02;1574.49;1120.35%;129.025046;1573.74
906000;2048;127.59;1570.56;1130.94%;129.032363;1569.92
907000;2048;128.22;1573.96;1127.55%;128.836107;1573.24
908000;2048;129.24;1596.16;1135.04%;128.79199;1595.14
909000;2048;128.66;1626.99;1164.57%;131.466813;1626.26
910000;2048;129.36;1583.72;1124.27%;128.975273;1582.98
911000;2048;130.47;1581.86;1112.43%;129.514913;1581.2
912000;2048;128.62;1615.85;1156.30%;128.088081;1615.15
913000;2048;130.15;1592.22;1123.37%;129.503706;1591.45
914000;2048;130.01;1610.45;1138.71%;129.204688;1609.71
915000;2048;129.48;1595.67;1132.37%;130.127525;1595.04
916000;2048;128.68;1607.61;1149.31%;130.245514;1606.93
