iterations;buffer size;without trace;with trace;overhead ratio;trace time;decode time
1000;2;0.2;2.52251;1161.25%;0.44658;2.21724
2000;4;0.2;4.28694;2043.47%;0.537829;3.9161
3000;8;0.2;6.19914;2999.57%;0.494141;5.88228
4000;8;0.2;7.2998;3549.90%;0.520453;6.93744
5000;8;0.21;9.2757;4317.00%;0.532718;8.90483
6000;16;0.21;11.3172;5289.14%;0.423664;11.0479
7000;16;0.21;13.4139;6287.57%;0.547965;13.0358
8000;16;0.23;14.0654;6015.39%;0.442693;13.7792
9000;16;0.22;15.5426;6964.82%;0.422625;15.2709
10000;16;0.21;17.0415;8015.00%;0.564837;16.6471
11000;16;0.21;18.4956;8707.43%;0.549941;18.1222
12000;32;0.22;22.0279;9912.68%;0.55619;21.6437
13000;32;0.22;23.2966;10489.36%;0.480524;22.9734
14000;32;0.22;24.8982;11217.36%;0.659268;24.4201
15000;32;0.22;26.47;11931.82%;0.588843;26.0624
16000;32;0.22;27.7196;12499.82%;0.464564;27.4147
17000;32;0.27;29.3329;10764.04%;0.427411;29.0643
18000;32;0.35;30.9478;8742.23%;0.573272;30.5567
19000;32;0.24;33.3716;13804.83%;0.452785;33.0927
20000;32;0.23;34.1719;14757.35%;0.506629;33.8361
21000;32;0.23;34.886;15067.83%;0.512183;34.5423
22000;32;0.22;36.0626;16292.09%;0.55272;35.6988
23000;32;0.23;37.9939;16419.09%;0.604338;37.5792
24000;64;0.23;42.4874;18372.78%;0.592987;42.0822
25000;64;0.24;44.8848;18602.00%;0.474655;44.5915
26000;64;0.23;45.366;19624.35%;0.500165;45.0437
27000;64;0.61;47.9437;7759.62%;0.467552;47.6618
28000;64;0.23;51.6919;22374.74%;0.494273;51.367
29000;64;0.33;69.5076;20962.91%;0.632526;69.1322
30000;64;0.29;57.9518;19883.38%;0.644451;57.5277
31000;64;0.36;57.471;15864.17%;0.925495;56.9173
32000;64;0.25;54.5888;21735.52%;0.586379;54.2197
33000;64;0.25;58.1325;23153.00%;0.569404;57.7649
34000;64;0.29;59.5319;20428.24%;0.532145;59.1943
