iterations;buffer size;without trace;with trace;overhead ratio;trace time;decode time
1000;2;14.44;30.651;112.26%;15.948269;30.3663
2000;4;28.28;53.8561;90.44%;29.489135;53.5046
3000;8;47.06;70.232;49.24%;46.945372;69.6881
4000;8;57.31;100.332;75.07%;56.589456;99.9719
5000;8;70.55;137.148;94.40%;70.406063;136.841
6000;16;84.42;142.54;68.85%;84.03546;142.223
7000;16;97.62;164.092;68.09%;98.326825;163.76
8000;16;111.53;189.957;70.32%;112.094889;189.598
9000;16;126.34;241.965;91.52%;132.885643;241.675
10000;16;140.15;243.065;73.43%;139.22229;242.767
11000;16;154.19;284.254;84.35%;153.649728;283.936
12000;32;168.94;294.47;74.30%;167.490409;294.195
13000;32;181.06;337.434;86.37%;183.130975;337.128
14000;32;195.78;352.876;80.24%;196.507979;352.595
15000;32;210.27;399.421;89.96%;208.180487;399.104
16000;32;224.57;365.23;62.64%;222.162811;364.907
17000;32;237.19;358.735;51.24%;238.24088;358.404
18000;32;249.79;415.569;66.37%;252.416831;415.252
19000;32;265.44;404.833;52.51%;268.185972;404.554
20000;32;280.28;473.003;68.76%;278.396121;472.724
21000;32;292;484.654;65.98%;292.304396;484.38
22000;32;305.35;473.382;55.03%;306.065146;473.11
23000;32;319.26;487.291;52.63%;324.104742;486.975
24000;64;335.32;575.556;71.64%;339.038768;575.272
25000;64;350.34;536.122;53.03%;348.242856;535.345
26000;64;364.61;579.473;58.93%;363.647937;579.189
27000;64;376.19;569.452;51.37%;375.530683;569.092
28000;64;391.41;651.546;66.46%;394.524548;651.169
29000;64;401.87;699.503;74.06%;405.652964;699.219
30000;64;419.15;802.598;91.48%;425.627175;802.274
31000;64;440.1;887.457;101.65%;436.512194;839.348
32000;64;445.74;692.077;55.26%;519.219977;658.98
33000;64;461.45;720.257;56.09%;464.238455;719.84
34000;64;475.05;703.003;47.99%;472.967567;702.58
35000;64;486.25;840.831;72.92%;486.820662;840.471
36000;64;498.07;953.163;91.37%;501.915511;952.836
37000;64;512.23;885.685;72.91%;520.793208;885.307
38000;64;527.24;900.393;70.77%;536.062728;900.112
39000;64;539.02;943.011;74.95%;548.315247;942.726
40000;64;558.82;973.824;74.26%;557.319518;973.512
41000;64;563.89;1016.62;80.29%;577.186084;1016.31
42000;64;580.36;1030.93;77.64%;591.903454;1030.62
43000;64;591.96;914.6;54.50%;599.859854;914.156
44000;64;606.05;914.888;50.96%;619.757925;914.609
45000;64;628.57;992.11;57.84%;634.18731;991.778
46000;64;658.25;1096.35;66.56%;652.462805;1095.99
