iterations;buffer size;without trace;with trace;overhead ratio;trace time;decode time
1000;2;1.71;5.07221;196.62%;2.103495;4.75018
2000;4;2.98;6.68514;124.33%;3.521244;6.39693
3000;8;4.55;11.4495;151.64%;4.804636;11.0992
4000;8;6.09;14.3489;135.61%;5.965449;14.0838
5000;8;7.18;13.7243;91.15%;7.670523;13.4676
6000;16;8.99;20.5299;128.36%;9.195228;20.1141
7000;16;10.22;24.0782;135.60%;10.709092;23.721
8000;16;11.62;24.3767;109.78%;12.185917;24.0026
9000;16;13.13;27.6087;110.27%;13.335472;27.2935
10000;16;14.38;29.487;105.06%;14.629844;29.1263
11000;16;15.73;31.5056;100.29%;16.232543;31.2248
12000;32;17.08;33.7813;97.78%;17.551694;33.4788
13000;32;18.62;32.7239;75.75%;18.822518;32.4366
14000;32;20.02;34.4911;72.28%;20.196891;34.2194
15000;32;21.79;40.6091;86.37%;21.764948;40.3304
16000;32;23.08;46.5774;101.81%;23.059874;46.2937
17000;32;24.18;45.5271;88.28%;24.463748;45.2404
18000;32;25.61;50.6774;97.88%;25.882042;50.3785
19000;32;27.16;51.3097;88.92%;27.022532;51.0318
20000;32;28.53;53.0713;86.02%;28.576136;52.7943
21000;32;29.64;54.5113;83.91%;30.632962;54.139
22000;32;31.03;55.0184;77.31%;30.921616;54.7026
23000;32;32.56;66.8759;105.39%;32.882127;66.5624
24000;64;33.78;57.4632;70.11%;34.347314;57.0949
25000;64;34.94;63.4617;81.63%;35.611269;63.1414
26000;64;36.64;70.7334;93.05%;37.680657;70.4103
27000;64;37.9;62.9708;66.15%;38.669972;62.5547
28000;64;39.49;74.6718;89.09%;39.447683;74.2776
29000;64;45.41;86.8038;91.16%;41.184407;86.4819
30000;64;42.92;89.3575;108.20%;42.881243;89.0412
31000;64;43.26;55.7666;28.91%;44.449515;55.4536
32000;64;45.32;80.8948;78.50%;45.020301;80.5679
33000;64;46.55;82.6121;77.47%;46.976572;82.3243
34000;64;48.82;84.9124;73.93%;49.339903;84.5979
35000;64;48.99;95.1407;94.20%;49.36708;94.8161
36000;64;50.79;85.6415;68.62%;51.128571;85.2977
37000;64;52.24;86.3354;65.27%;51.980856;86.0409
38000;64;53.78;76.1767;41.65%;53.639487;75.8842
39000;64;54.88;80.9528;47.51%;54.60394;80.6359
40000;64;55.6;95.1456;71.13%;56.301292;94.8561
41000;64;58.04;95.8825;65.20%;57.669163;95.6007
42000;64;58.53;100.442;71.61%;59.543378;100.077
43000;64;60.61;117.667;94.14%;61.214774;117.386
44000;64;61.68;107.185;73.78%;62.364243;106.853
45000;64;63.85;80.4649;26.02%;63.239889;80.1041
46000;64;64.55;101.474;57.20%;65.423962;101.196
47000;64;65.93;113.414;72.02%;66.198657;113.101
48000;128;99.58;118.158;18.66%;66.627132;117.857
49000;128;68.62;125.411;82.76%;68.402605;125.108
50000;128;69.85;112.638;61.26%;70.336976;112.315
51000;128;72.12;127.366;76.60%;72.43412;127.066
52000;128;72.62;124.84;71.91%;73.186631;124.452
53000;128;75.04;126.293;68.30%;74.021037;125.954
