iterations;buffer size;without trace;with trace;overhead ratio;trace time;decode time
1000;2;0.22;5.96532;2611.51%;0.568361;5.57005
2000;4;0.22;11.539;5145.00%;0.578261;11.1403
3000;8;0.25;17.8478;7039.12%;0.971433;17.0839
4000;8;0.26;22.6832;8624.31%;0.599889;22.2967
5000;8;0.29;29.6524;10124.97%;0.601387;29.2745
6000;16;0.28;33.6259;11909.25%;0.511612;33.3403
7000;16;0.33;49.3079;14841.79%;0.719743;48.9279
8000;16;0.39;46.0698;11712.77%;0.684619;45.6631
9000;16;0.33;49.9715;15042.88%;0.78126;49.5644
10000;16;0.34;54.1976;15840.47%;0.573371;53.9099
11000;16;0.34;60.3369;17646.15%;0.67542;59.9722
12000;32;0.36;66.6872;18424.22%;0.652654;66.3497
13000;32;0.36;71.5629;19778.58%;0.764351;71.1667
14000;32;0.39;78.7993;20104.95%;0.816777;78.3509
15000;32;0.53;81.7774;15329.70%;0.878989;81.2992
16000;32;0.41;87.4207;21222.12%;0.825071;86.9732
17000;32;0.43;93.2492;21585.86%;0.733385;92.9074
18000;32;0.45;95.1333;21040.73%;0.762256;94.7761
19000;32;0.45;100.316;22192.44%;0.714692;100.004
20000;32;0.45;108;23900.00%;0.684911;107.732
21000;32;0.47;111.1;23538.30%;0.798341;110.79
22000;32;0.49;115.953;23563.88%;0.821788;115.588
23000;32;0.51;123.045;24026.47%;0.791729;122.717
24000;64;0.53;130.071;24441.70%;0.897485;129.663
25000;64;0.52;136.177;26087.88%;0.870908;135.806
26000;64;0.59;141.614;23902.37%;1.329895;140.893
27000;64;0.57;144.653;25277.72%;0.938241;144.26
28000;64;0.6;149.622;24837.00%;0.804928;149.344
29000;64;0.58;146.367;25135.69%;1.302672;146.045
30000;64;0.59;162.189;27389.66%;0.888506;161.866
31000;64;0.62;162.77;26153.23%;1.010402;162.359
32000;64;0.62;169.289;27204.68%;0.905983;169.006
33000;64;0.65;173.583;26605.08%;0.922346;173.262
34000;64;0.63;180.573;28562.38%;0.950074;180.287
35000;64;0.66;183.46;27696.97%;0.895477;183.184
36000;64;0.67;195.411;29065.82%;0.950951;195.119
37000;64;0.68;199.428;29227.65%;1.071931;199.04
38000;64;0.71;200.626;28157.18%;1.136936;200.235
39000;64;0.7;203.769;29009.86%;1.089021;203.377
40000;64;0.75;209.254;27800.53%;0.979526;208.973
41000;64;0.82;215.741;26209.88%;1.053611;215.425
42000;64;0.75;222.133;29517.73%;1.146455;221.722
43000;64;0.78;228.991;29257.82%;1.073993;228.687
44000;64;0.82;232.326;28232.44%;1.056075;232.018
45000;64;0.82;238.937;29038.66%;1.133568;238.569
46000;64;0.82;240.075;29177.44%;1.179195;239.705
47000;64;1.19;323.912;27119.50%;1.137395;323.596
48000;128;0.82;260.992;31728.29%;1.594078;260.573
49000;128;0.91;268.826;29441.32%;1.189347;268.513
50000;128;0.87;264.495;30301.72%;1.132442;264.207
51000;128;0.86;271.006;31412.33%;1.629678;270.266
52000;128;0.91;281.223;30803.63%;1.303362;280.852
53000;128;0.91;281.513;30835.49%;1.25724;281.16
54000;128;0.9;284.824;31547.11%;1.360773;284.363
55000;128;0.91;293.447;32146.92%;1.269587;293.127
56000;128;0.97;293.737;30182.16%;1.372825;293.345
57000;128;0.94;301.958;32023.19%;1.375871;301.542
58000;128;0.98;306.975;31223.98%;1.438544;306.557
59000;128;0.97;314.154;32287.01%;1.307709;313.83
60000;128;1.03;313.524;30339.22%;1.283636;313.231
61000;128;0.99;323.318;32558.38%;1.313694;322.99
62000;128;1.41;326.593;23062.62%;1.418042;326.215
63000;128;1.05;328.733;31207.90%;1.348539;328.43
64000;128;1.08;339.614;31345.74%;1.34074;339.299
65000;128;1.05;341.01;32377.14%;1.390011;340.666
66000;128;1.06;347.733;32705.00%;1.442854;347.327
67000;128;1.07;356.57;33224.30%;1.391324;356.272
68000;128;1.19;358.565;30031.51%;1.40206;358.275
69000;128;1.18;361.241;30513.64%;1.411652;360.922
70000;128;1.22;368.619;30114.67%;1.423364;368.333
71000;128;1.17;369.893;31514.79%;1.538251;369.535
72000;128;1.11;380.335;34164.41%;1.456852;380.007
73000;128;1.15;378.711;32831.39%;1.54143;378.423
74000;128;1.16;388.663;33405.43%;1.633292;388.21
75000;128;1.15;394.417;34197.13%;1.493694;394.132
76000;128;1.19;394.52;33052.94%;1.579458;394.113
77000;128;1.21;405.281;33394.30%;1.500113;404.983
78000;128;1.21;400.641;33010.83%;1.537363;400.35
79000;128;1.29;410.954;31756.90%;1.605764;410.623
80000;128;1.28;415.497;32360.70%;1.570389;415.214
81000;128;1.36;410.861;30110.37%;2.027105;410.558
82000;128;1.41;426.109;30120.50%;1.876542;425.666
83000;128;1.43;439.979;30667.76%;1.65541;439.651
84000;128;1.27;442.222;34720.63%;1.713817;441.822
85000;128;1.31;443.105;33724.81%;1.591403;442.822
86000;128;1.43;447.191;31172.10%;1.851711;446.792
87000;128;1.46;452.095;30865.41%;1.775628;451.648
88000;128;1.35;456.378;33705.78%;2.043888;456.08
89000;128;1.37;459.193;33417.74%;2.111456;458.868
90000;128;1.38;467.156;33751.88%;1.779586;466.777
91000;128;1.43;465.674;32464.62%;1.824646;465.258
92000;128;1.92;472.5;24509.38%;1.731346;472.217
93000;128;1.41;480.332;33966.10%;2.145985;480.038
94000;128;1.47;492.395;33396.26%;1.840821;492.08
95000;128;1.48;491.303;33096.15%;1.860408;491.008
96000;256;1.45;508.089;34940.62%;2.291541;507.76
97000;256;1.51;523.347;34558.74%;1.836583;523.023
98000;256;1.52;524.907;34433.36%;1.855103;524.592
99000;256;1.49;537.747;35990.40%;1.833682;537.427
100000;256;1.51;533.565;35235.43%;1.893341;533.268
