iterations;buffer size;without trace;with trace;overhead ratio;trace time;decode time
112000;256;1450.93;1796.24;23.80%;1468.792747;1795.9
113000;256;1455.26;1575.85;8.29%;1481.117025;1575.53
114000;256;1477.69;1720.73;16.45%;1479.179387;1720.3
115000;256;1482.42;1821.41;22.87%;1505.943924;1820.96
116000;256;1501.97;1897.81;26.35%;1567.796215;1897.4
117000;256;1532.69;1880.89;22.72%;1548.861973;1880.47
118000;256;1530.27;1636.51;6.94%;1579.48565;1636.17
119000;256;1541.6;1840.96;19.42%;1551.993198;1840.64
120000;256;1562.15;1851.56;18.53%;1667.700544;1851.21
121000;256;1570.71;1795.83;14.33%;1628.595506;1795.48
122000;256;1581.6;1667.64;5.44%;1593.940672;1667.28
123000;256;1594.56;1898.97;19.09%;1612.958558;1898.62
124000;256;1603.06;2141.74;33.60%;1681.325195;2141.34
125000;256;1616.25;1798.38;11.27%;1633.188595;1797.94
126000;256;1625.64;2139.43;31.61%;1680.066056;2139.07
127000;256;1648.33;1836.89;11.44%;1658.907099;1836.57
128000;256;1650.63;1912.02;15.84%;1675.265786;1911.6
129000;256;1669.74;1989.66;19.16%;1702.599237;1989.3
130000;256;1683.31;1793.87;6.57%;1687.819695;1793.51
131000;256;1708.41;2191.06;28.25%;1723.612189;2190.76
132000;256;1701.82;1855.66;9.04%;1748.319469;1855.32
133000;256;1730.38;2150;24.25%;1757.244779;2149.63
134000;256;1739.74;2168.55;24.65%;1771.689456;2168.23
135000;256;1760.05;2297.52;30.54%;1761.029016;2297.08
136000;256;1795.63;2239.25;24.71%;1829.565074;2238.83
137000;256;1765.08;2275.1;28.90%;1892.957223;2274.79
138000;256;1806.5;2249.86;24.54%;1866.183578;2249.52
139000;256;1800.34;2264.33;25.77%;1868.590982;2264.01
140000;256;1818.55;1939.1;6.63%;1881.211269;1938.79
141000;256;1831.58;2323.84;26.88%;1951.672898;2323.49
142000;256;1832.68;2243.83;22.43%;1921.249996;2243.51
143000;256;1845.33;2300.41;24.66%;1971.044976;2300.05
144000;256;1854.31;2281.55;23.04%;1937.344147;2281.2
145000;256;1878.15;2362.02;25.76%;1995.011684;2361.62
146000;256;1894.88;2329.34;22.93%;1983.703808;2328.92
147000;256;1907.52;2486.32;30.34%;2005.235574;2485.96
148000;256;1912.27;2568.7;34.33%;1982.808457;2568.35
149000;256;1924.94;2608.99;35.54%;2041.829305;2608.64
150000;256;1961.48;2320.96;18.33%;2015.911207;2320.53
151000;256;1949.16;2583.89;32.56%;2069.182688;2583.57
152000;256;1971.01;2405.69;22.05%;2078.875574;2405.37
153000;256;1968.25;2609.5;32.58%;2038.645943;2609.11
154000;256;1992.5;2506.13;25.78%;2038.293075;2505.73
155000;256;2008.42;2214.44;10.26%;2070.507217;2214.08
156000;256;2033.38;2107.43;3.64%;2066.328153;2107.02
157000;256;2029.86;2206.76;8.71%;2096.880081;2206.44
158000;256;2040.61;2738.19;34.18%;2193.118866;2737.83
159000;256;2062.57;2238.91;8.55%;2113.536448;2238.56
160000;256;2069.02;2610.47;26.17%;2165.005351;2610.12
161000;256;2097.43;2349.82;12.03%;2233.635688;2349.46
162000;256;2089.41;2673.52;27.96%;2154.225631;2673.07
163000;256;2108.94;2654.87;25.89%;2213.195922;2654.55
164000;256;2110.95;2739.07;29.76%;2276.665411;2738.77
165000;256;2133.75;2642.39;23.84%;2242.516296;2641.97
166000;256;2149.61;2388.75;11.12%;2185.816928;2388.34
167000;256;2175.85;2704.9;24.31%;2258.938389;2704.55
168000;256;2172.89;2698.38;24.18%;2332.077626;2698.06
169000;256;2196.22;2323.08;5.78%;2289.883244;2322.74
170000;256;2211.11;2728.35;23.39%;2301.095697;2727.92
171000;256;2236.55;2630.23;17.60%;2318.045595;2629.88
172000;256;2228.96;2690.51;20.71%;2288.355792;2690.16
173000;256;2251.03;2700.34;19.96%;2306.59604;2699.99
174000;256;2252.43;2728.06;21.12%;2362.129542;2727.71
175000;256;2271.44;2685.7;18.24%;2329.285025;2685.39
176000;256;2291.73;2692.66;17.49%;2347.690335;2692.22
177000;256;2297.58;2416.26;5.17%;2400.676265;2415.87
178000;256;2329.67;2676.93;14.91%;2473.134018;2676.59
179000;256;2319.56;2703.19;16.54%;2417.115501;2702.83
180000;256;2332.93;2853.46;22.31%;2434.105297;2853.14
181000;256;2359.83;2529.79;7.20%;2444.265716;2529.45
182000;256;2369.06;2961.6;25.01%;2439.944598;2961.16
183000;256;2373.4;3119.64;31.44%;2432.413252;3119.29
184000;256;2376.25;3101.47;30.52%;2437.427797;3101.03
185000;256;2386.4;3233.8;35.51%;2498.485772;3233.45
186000;256;2412.69;3179.19;31.77%;2459.402473;3178.83
187000;256;2425.55;3183.07;31.23%;2539.646797;3182.69
188000;256;2450.69;3153;28.66%;2558.010845;3152.6
189000;256;2447.98;2918.71;19.23%;2553.432683;2918.22
190000;512;2472.59;2976.43;20.38%;2477.243165;2976.05
191000;512;2495.51;2570.04;2.99%;2487.519815;2569.68
192000;512;2498.49;2713.76;8.62%;2500.126244;2713.4
193000;512;2517.73;3033.33;20.48%;2505.766535;3032.85
194000;512;2526.64;2959.05;17.11%;2522.996359;2958.63
195000;512;2556.59;3001.93;17.42%;2575.966104;3001.53
196000;512;2562.61;2651.61;3.47%;2607.051881;2651.14
197000;512;2575.32;2997.81;16.41%;2579.992317;2997.36
198000;512;2578.82;2819.46;9.33%;2602.713191;2819.04
199000;512;2606.01;3053.96;17.19%;2618.066636;3053.59
200000;512;2621.57;3118.23;18.95%;2628.83815;3117.87
201000;512;2635.98;3257.18;23.57%;2772.110565;3256.81
202000;512;2630.04;3469.66;31.92%;2681.081095;3469.26
203000;512;2649.43;3226.76;21.79%;2749.62715;3225.92
204000;512;2670.78;2853.82;6.85%;2741.74334;2853.38
205000;512;2680.51;3460.42;29.10%;2721.472511;3460.06
206000;512;2686.39;3452.43;28.52%;2730.038293;3452.07
207000;512;2719.6;3479.14;27.93%;2742.338372;3478.78
208000;512;2716.18;3136.44;15.47%;2763.389454;3136.04
209000;512;2721.99;3480.08;27.85%;2752.608166;3479.71
210000;512;2741.76;3110.59;13.45%;2798.838946;3110.19
211000;512;2756.61;2918.8;5.88%;2814.517891;2918.41
212000;512;2762.83;3057.11;10.65%;2833.813526;3056.72
213000;512;2774.99;3549.06;27.89%;2812.305538;3548.72
214000;512;2787.88;3458.13;24.04%;2784.366309;3457.71
215000;512;2813.26;3549.43;26.17%;2873.20648;3549.03
216000;512;2827.46;3358.86;18.79%;2874.984211;3358.5
217000;512;2867.76;3118.27;8.74%;2877.863951;3117.81
218000;512;2837.51;3582.07;26.24%;2918.341157;3581.7
219000;512;2865.98;3732.92;30.25%;2924.311663;3732.53
220000;512;2878.73;3638.3;26.39%;2927.12163;3637.93
221000;512;2892.75;3596.19;24.32%;2938.832484;3595.8
222000;512;2897.46;3442.92;18.83%;2945.383235;3442.52
223000;512;2915.22;3706.32;27.14%;2972.218057;3705.81
224000;512;2912.52;3098.39;6.38%;2977.659805;3097.94
225000;512;2934.47;3396.77;15.75%;2991.297614;3396.36
226000;512;2956.15;3901.66;31.98%;2995.30465;3901.25
227000;512;2956.23;3796.76;28.43%;3011.703992;3796.39
228000;512;2965.94;3673.87;23.87%;3033.675256;3673.5
229000;512;2994.02;3432.97;14.66%;3036.037082;3432.59
230000;512;3006.59;3590.28;19.41%;3025.400083;3589.91
231000;512;3003.24;3751.02;24.90%;3042.333636;3750.64
232000;512;3013.7;3318.51;10.11%;3070.146721;3318.14
233000;512;3030.51;3693.98;21.89%;3090.147409;3693.52
234000;512;3045.47;3665.2;20.35%;3108.347064;3664.8
235000;512;3057.03;3723.39;21.80%;3140.474569;3723
236000;512;3064.8;3810.56;24.33%;3139.264072;3810.17
237000;512;3094.56;3673.03;18.69%;3123.033035;3672.57
238000;512;3108.11;3704.2;19.18%;3141.012861;3703.82
239000;512;3109.09;3870.18;24.48%;3157.225775;3869.82
240000;512;3125.18;3354.14;7.33%;3183.426433;3353.74
241000;512;3153.14;3768.75;19.52%;3245.154676;3768.35
242000;512;3138.06;3805.72;21.28%;3209.945592;3805.27
243000;512;3153.47;4171.68;32.29%;3221.509843;4171.29
244000;512;3171.09;4163.75;31.30%;3237.797964;4163.3
245000;512;3187.21;3925;23.15%;3306.391603;3924.58
246000;512;3196.27;3407.07;6.60%;3241.872697;3406.68
247000;512;3212.31;4195.83;30.62%;3288.075601;4195.37
248000;512;3222.9;3464.13;7.48%;3289.427314;3463.68
249000;512;3236.67;3819.31;18.00%;3295.403996;3818.91
250000;512;3264.07;4230.65;29.61%;3303.115035;4230.24
251000;512;3272.12;4193.95;28.17%;3317.369914;4193.45
252000;512;3287.32;4267.31;29.81%;3356.13022;4266.91
253000;512;3297.35;4236.19;28.47%;3335.058658;4235.79
254000;512;3307.78;4228.78;27.84%;3350.03054;4228.39
255000;512;3346.94;3903.87;16.64%;3367.070821;3903.51
256000;512;3321.99;3946.28;18.79%;3403.113545;3945.91
257000;512;3356.93;4300.2;28.10%;3414.260731;4299.8
258000;512;3367.5;4311.68;28.04%;3441.265602;4311.29
259000;512;3361.11;3796.56;12.96%;3434.670072;3796.04
260000;512;3392.18;3729.33;9.94%;3448.100355;3728.94
261000;512;3390.34;3750.97;10.64%;3439.157408;3750.49
262000;512;3402.81;4282.13;25.84%;3460.479902;4281.73
263000;512;3427.68;4145.76;20.95%;3487.986074;4145.29
264000;512;3451.67;4287.3;24.21%;3511.170895;4286.93
265000;512;3454.52;4276.95;23.81%;3511.703267;4276.46
266000;512;3450.64;4248.89;23.13%;3535.237791;4248.5
267000;512;3460.63;3737.32;8.00%;3545.678626;3736.92
268000;512;3495.15;3993.45;14.26%;3556.626486;3993.01
269000;512;3491.04;3796;8.74%;3582.787394;3795.61
270000;512;3524.8;4262.63;20.93%;3580.911889;4262.15
271000;512;3520.38;3569.68;1.40%;3545.947887;3569.23
272000;512;3543.95;4394.63;24.00%;3595.409306;4394.24
273000;512;3563.54;3709.64;4.10%;3609.002715;3709.27
274000;512;3559.16;3768.91;5.89%;3625.399178;3768.45
275000;512;3576.06;3910.11;9.34%;3658.991854;3909.72
276000;512;3581.27;3993.44;11.51%;3679.947;3993.04
277000;512;3609.12;4363.86;20.91%;3684.332155;4363.48
278000;512;3618.16;4594.95;27.00%;3660.905972;4594.56
279000;512;3640.47;4370.65;20.06%;3709.529766;4370.26
280000;512;3631.65;4402.15;21.22%;3734.010669;4401.78
281000;512;3641.56;4424.88;21.51%;3732.217368;4424.51
282000;512;3674.24;4398.86;19.72%;3741.758565;4398.35
283000;512;3668.09;3837.57;4.62%;3757.739688;3837.21
284000;512;3682.76;4205.98;14.21%;3760.788721;4205.59
285000;512;3722.15;4140.95;11.25%;3772.713401;4140.59
286000;512;3711.88;3902.45;5.13%;3808.811232;3901.99
287000;512;3726.18;4167.59;11.85%;3808.530246;4167.19
288000;512;3747.19;4160.86;11.04%;3827.844004;4160.37
289000;512;3762.68;4469.68;18.79%;3838.60328;4469.25
290000;512;3779.75;4556.91;20.56%;3850.634201;4556.52
291000;512;3771.33;4978.81;32.02%;3868.689839;4978.44
292000;512;3783.4;4112.31;8.69%;3789.20559;4111.92
293000;512;3820.79;4541.97;18.88%;3874.880858;4541.58
294000;512;3808.98;4487.73;17.82%;3886.690066;4487.28
295000;512;3840.91;4531.67;17.98%;3934.858376;4531.27
296000;512;3845.71;4190.17;8.96%;3953.221515;4189.77
297000;512;3863.91;4089.83;5.85%;3930.188821;4089.4
298000;512;3865.75;5078.87;31.38%;3945.69067;5078.48
299000;512;3875.66;4579.37;18.16%;3955.568879;4578.87
300000;512;3894.08;3992.91;2.54%;3970.188381;3992.51
301000;512;3897.37;5078.05;30.29%;3978.989792;5077.67
302000;512;3907.46;5089.23;30.24%;3984.324282;5088.87
303000;512;3945.4;5074.42;28.62%;4035.941511;5073.55
304000;512;3959.86;5163.21;30.39%;4051.905232;5162.7
305000;512;3969.09;5182.06;30.56%;4060.136112;5181.66
306000;512;3961.44;5161.06;30.28%;4052.593451;5160.58
307000;512;3999.81;5210.71;30.27%;4056.250378;5210.34
308000;512;3997.07;4282.7;7.15%;4094.487101;4282.31
309000;512;4009.29;5037.79;25.65%;4099.695443;5037.42
310000;512;4010.53;5001.82;24.72%;4118.376669;5001.46
311000;512;4043.64;5216.28;29.00%;4101.337098;5215.87
312000;512;4044.88;5184.31;28.17%;4151.118931;5183.86
313000;512;4063.27;5149.27;26.73%;4166.384638;5148.79
314000;512;4085.83;5061.26;23.87%;4109.901515;5060.78
